,eta,epsilon,sigma_init,mu,K,r2,mse,CB_size,tradeOff_dist
377,0.02,75.00025,0.01,0.0001,11,,,,
378,0.02,75.00025,0.01,0.0001,15,,,,
379,0.02,75.00025,0.01,0.0001,20,,,,
380,0.02,75.00025,0.01,0.250075,2,,,,
381,0.02,75.00025,0.01,0.250075,6,,,,
382,0.02,75.00025,0.01,0.250075,11,,,,
383,0.02,75.00025,0.01,0.250075,15,,,,
384,0.02,75.00025,0.01,0.250075,20,,,,
385,0.02,75.00025,0.01,0.50005,2,,,,
386,0.02,75.00025,0.01,0.50005,6,,,,
387,0.02,75.00025,0.01,0.50005,11,,,,
388,0.02,75.00025,0.01,0.50005,15,,,,
389,0.02,75.00025,0.01,0.50005,20,,,,
390,0.02,75.00025,0.01,0.7500249999999999,2,,,,
391,0.02,75.00025,0.01,0.7500249999999999,6,,,,
392,0.02,75.00025,0.01,0.7500249999999999,11,,,,
393,0.02,75.00025,0.01,0.7500249999999999,15,,,,
394,0.02,75.00025,0.01,0.7500249999999999,20,,,,
395,0.02,75.00025,0.01,1.0,2,,,,
396,0.02,75.00025,0.01,1.0,6,,,,
397,0.02,75.00025,0.01,1.0,11,,,,
398,0.02,75.00025,0.01,1.0,15,,,,
399,0.02,75.00025,0.01,1.0,20,,,,
400,0.02,75.00025,50.0075,0.0001,2,,,,
401,0.02,75.00025,50.0075,0.0001,6,,,,
402,0.02,75.00025,50.0075,0.0001,11,,,,
403,0.02,75.00025,50.0075,0.0001,15,,,,
404,0.02,75.00025,50.0075,0.0001,20,,,,
405,0.02,75.00025,50.0075,0.250075,2,,,,
406,0.02,75.00025,50.0075,0.250075,6,,,,
407,0.02,75.00025,50.0075,0.250075,11,,,,
408,0.02,75.00025,50.0075,0.250075,15,,,,
409,0.02,75.00025,50.0075,0.250075,20,,,,
410,0.02,75.00025,50.0075,0.50005,2,,,,
411,0.02,75.00025,50.0075,0.50005,6,,,,
412,0.02,75.00025,50.0075,0.50005,11,,,,
413,0.02,75.00025,50.0075,0.50005,15,,,,
414,0.02,75.00025,50.0075,0.50005,20,,,,
415,0.02,75.00025,50.0075,0.7500249999999999,2,,,,
416,0.02,75.00025,50.0075,0.7500249999999999,6,,,,
417,0.02,75.00025,50.0075,0.7500249999999999,11,,,,
418,0.02,75.00025,50.0075,0.7500249999999999,15,,,,
419,0.02,75.00025,50.0075,0.7500249999999999,20,,,,
420,0.02,75.00025,50.0075,1.0,2,,,,
421,0.02,75.00025,50.0075,1.0,6,,,,
422,0.02,75.00025,50.0075,1.0,11,,,,
423,0.02,75.00025,50.0075,1.0,15,,,,
424,0.02,75.00025,50.0075,1.0,20,,,,
425,0.02,75.00025,100.00500000000001,0.0001,2,,,,
426,0.02,75.00025,100.00500000000001,0.0001,6,,,,
427,0.02,75.00025,100.00500000000001,0.0001,11,,,,
428,0.02,75.00025,100.00500000000001,0.0001,15,,,,
429,0.02,75.00025,100.00500000000001,0.0001,20,,,,
430,0.02,75.00025,100.00500000000001,0.250075,2,,,,
431,0.02,75.00025,100.00500000000001,0.250075,6,,,,
432,0.02,75.00025,100.00500000000001,0.250075,11,,,,
433,0.02,75.00025,100.00500000000001,0.250075,15,,,,
434,0.02,75.00025,100.00500000000001,0.250075,20,,,,
435,0.02,75.00025,100.00500000000001,0.50005,2,,,,
436,0.02,75.00025,100.00500000000001,0.50005,6,,,,
437,0.02,75.00025,100.00500000000001,0.50005,11,,,,
438,0.02,75.00025,100.00500000000001,0.50005,15,,,,
439,0.02,75.00025,100.00500000000001,0.50005,20,,,,
440,0.02,75.00025,100.00500000000001,0.7500249999999999,2,,,,
441,0.02,75.00025,100.00500000000001,0.7500249999999999,6,,,,
442,0.02,75.00025,100.00500000000001,0.7500249999999999,11,,,,
443,0.02,75.00025,100.00500000000001,0.7500249999999999,15,,,,
444,0.02,75.00025,100.00500000000001,0.7500249999999999,20,,,,
445,0.02,75.00025,100.00500000000001,1.0,2,,,,
446,0.02,75.00025,100.00500000000001,1.0,6,,,,
447,0.02,75.00025,100.00500000000001,1.0,11,,,,
448,0.02,75.00025,100.00500000000001,1.0,15,,,,
449,0.02,75.00025,100.00500000000001,1.0,20,,,,
450,0.02,75.00025,150.0025,0.0001,2,,,,
451,0.02,75.00025,150.0025,0.0001,6,,,,
452,0.02,75.00025,150.0025,0.0001,11,,,,
453,0.02,75.00025,150.0025,0.0001,15,,,,
454,0.02,75.00025,150.0025,0.0001,20,,,,
455,0.02,75.00025,150.0025,0.250075,2,,,,
456,0.02,75.00025,150.0025,0.250075,6,,,,
457,0.02,75.00025,150.0025,0.250075,11,,,,
458,0.02,75.00025,150.0025,0.250075,15,,,,
459,0.02,75.00025,150.0025,0.250075,20,,,,
460,0.02,75.00025,150.0025,0.50005,2,,,,
461,0.02,75.00025,150.0025,0.50005,6,,,,
462,0.02,75.00025,150.0025,0.50005,11,,,,
463,0.02,75.00025,150.0025,0.50005,15,,,,
464,0.02,75.00025,150.0025,0.50005,20,,,,
465,0.02,75.00025,150.0025,0.7500249999999999,2,,,,
466,0.02,75.00025,150.0025,0.7500249999999999,6,,,,
467,0.02,75.00025,150.0025,0.7500249999999999,11,,,,
468,0.02,75.00025,150.0025,0.7500249999999999,15,,,,
469,0.02,75.00025,150.0025,0.7500249999999999,20,,,,
470,0.02,75.00025,150.0025,1.0,2,,,,
471,0.02,75.00025,150.0025,1.0,6,,,,
472,0.02,75.00025,150.0025,1.0,11,,,,
473,0.02,75.00025,150.0025,1.0,15,,,,
474,0.02,75.00025,150.0025,1.0,20,,,,
475,0.02,75.00025,200.0,0.0001,2,,,,
476,0.02,75.00025,200.0,0.0001,6,,,,
477,0.02,75.00025,200.0,0.0001,11,,,,
478,0.02,75.00025,200.0,0.0001,15,,,,
479,0.02,75.00025,200.0,0.0001,20,,,,
480,0.02,75.00025,200.0,0.250075,2,,,,
481,0.02,75.00025,200.0,0.250075,6,,,,
482,0.02,75.00025,200.0,0.250075,11,,,,
483,0.02,75.00025,200.0,0.250075,15,,,,
484,0.02,75.00025,200.0,0.250075,20,,,,
485,0.02,75.00025,200.0,0.50005,2,,,,
486,0.02,75.00025,200.0,0.50005,6,,,,
