,eta,epsilon,sigma_init,mu,K,r2,mse,CB_size,tradeOff_dist
2697,0.9,25.00075,100.00500000000001,1.0,11,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2698,0.9,25.00075,100.00500000000001,1.0,15,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2699,0.9,25.00075,100.00500000000001,1.0,20,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2700,0.9,25.00075,150.0025,0.0001,2,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2701,0.9,25.00075,150.0025,0.0001,6,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2702,0.9,25.00075,150.0025,0.0001,11,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2703,0.9,25.00075,150.0025,0.0001,15,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2704,0.9,25.00075,150.0025,0.0001,20,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2705,0.9,25.00075,150.0025,0.250075,2,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2706,0.9,25.00075,150.0025,0.250075,6,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2707,0.9,25.00075,150.0025,0.250075,11,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2708,0.9,25.00075,150.0025,0.250075,15,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2709,0.9,25.00075,150.0025,0.250075,20,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2710,0.9,25.00075,150.0025,0.50005,2,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2711,0.9,25.00075,150.0025,0.50005,6,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2712,0.9,25.00075,150.0025,0.50005,11,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2713,0.9,25.00075,150.0025,0.50005,15,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2714,0.9,25.00075,150.0025,0.50005,20,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2715,0.9,25.00075,150.0025,0.7500249999999999,2,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2716,0.9,25.00075,150.0025,0.7500249999999999,6,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2717,0.9,25.00075,150.0025,0.7500249999999999,11,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2718,0.9,25.00075,150.0025,0.7500249999999999,15,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2719,0.9,25.00075,150.0025,0.7500249999999999,20,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2720,0.9,25.00075,150.0025,1.0,2,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2721,0.9,25.00075,150.0025,1.0,6,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2722,0.9,25.00075,150.0025,1.0,11,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2723,0.9,25.00075,150.0025,1.0,15,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2724,0.9,25.00075,150.0025,1.0,20,-0.39535983728500845,7.370910313907283,1,7.438435242419252
2725,0.9,25.00075,200.0,0.0001,2,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2726,0.9,25.00075,200.0,0.0001,6,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2727,0.9,25.00075,200.0,0.0001,11,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2728,0.9,25.00075,200.0,0.0001,15,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2729,0.9,25.00075,200.0,0.0001,20,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2730,0.9,25.00075,200.0,0.250075,2,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2731,0.9,25.00075,200.0,0.250075,6,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2732,0.9,25.00075,200.0,0.250075,11,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2733,0.9,25.00075,200.0,0.250075,15,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2734,0.9,25.00075,200.0,0.250075,20,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2735,0.9,25.00075,200.0,0.50005,2,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2736,0.9,25.00075,200.0,0.50005,6,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2737,0.9,25.00075,200.0,0.50005,11,-0.3953318296194981,7.370762364980373,1,7.438288636575692
2738,0.9,25.00075,200.0,0.50005,15,-0.3953318296194981,7.370762364980373,1,7.438288636575692
