,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
38,0.02,20.0008,0.0001,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
39,0.02,20.0008,0.0001,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
40,0.02,20.0008,0.0001,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
41,0.02,20.0008,0.0001,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
42,0.02,20.0008,0.20007999999999998,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
43,0.02,20.0008,0.20007999999999998,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
44,0.02,20.0008,0.20007999999999998,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
45,0.02,20.0008,0.20007999999999998,12,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
46,0.02,20.0008,0.20007999999999998,16,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
47,0.02,20.0008,0.20007999999999998,20,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
48,0.02,20.0008,0.40005999999999997,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
49,0.02,20.0008,0.40005999999999997,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
50,0.02,20.0008,0.40005999999999997,9,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
