,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
469,0.41200000000000003,20.0008,0.0001,5,,,,
470,0.41200000000000003,20.0008,0.0001,9,,,,
471,0.41200000000000003,20.0008,0.0001,12,,,,
472,0.41200000000000003,20.0008,0.0001,16,,,,
473,0.41200000000000003,20.0008,0.0001,20,,,,
474,0.41200000000000003,20.0008,0.20007999999999998,2,,,,
475,0.41200000000000003,20.0008,0.20007999999999998,5,-0.8710876895568587,13137400.058312282,9.0,13137400.058315365
476,0.41200000000000003,20.0008,0.20007999999999998,9,,,,
477,0.41200000000000003,20.0008,0.20007999999999998,12,,,,
478,0.41200000000000003,20.0008,0.20007999999999998,16,,,,
479,0.41200000000000003,20.0008,0.20007999999999998,20,,,,
480,0.41200000000000003,20.0008,0.40005999999999997,2,,,,
481,0.41200000000000003,20.0008,0.40005999999999997,5,,,,
482,0.41200000000000003,20.0008,0.40005999999999997,9,,,,
483,0.41200000000000003,20.0008,0.40005999999999997,12,,,,
484,0.41200000000000003,20.0008,0.40005999999999997,16,,,,
485,0.41200000000000003,20.0008,0.40005999999999997,20,,,,
486,0.41200000000000003,20.0008,0.6000399999999999,2,,,,
487,0.41200000000000003,20.0008,0.6000399999999999,5,,,,
488,0.41200000000000003,20.0008,0.6000399999999999,9,,,,
489,0.41200000000000003,20.0008,0.6000399999999999,12,,,,
490,0.41200000000000003,20.0008,0.6000399999999999,16,,,,
491,0.41200000000000003,20.0008,0.6000399999999999,20,,,,
492,0.41200000000000003,20.0008,0.80002,2,,,,
493,0.41200000000000003,20.0008,0.80002,5,,,,
494,0.41200000000000003,20.0008,0.80002,9,,,,
495,0.41200000000000003,20.0008,0.80002,12,,,,
496,0.41200000000000003,20.0008,0.80002,16,,,,
497,0.41200000000000003,20.0008,0.80002,20,,,,
498,0.41200000000000003,20.0008,1.0,2,,,,
499,0.41200000000000003,20.0008,1.0,5,,,,
500,0.41200000000000003,20.0008,1.0,9,,,,
501,0.41200000000000003,20.0008,1.0,12,,,,
502,0.41200000000000003,20.0008,1.0,16,,,,
503,0.41200000000000003,20.0008,1.0,20,,,,
504,0.41200000000000003,40.0006,0.0001,2,,,,
505,0.41200000000000003,40.0006,0.0001,5,,,,
506,0.41200000000000003,40.0006,0.0001,9,,,,
507,0.41200000000000003,40.0006,0.0001,12,,,,
508,0.41200000000000003,40.0006,0.0001,16,,,,
509,0.41200000000000003,40.0006,0.0001,20,,,,
510,0.41200000000000003,40.0006,0.20007999999999998,2,,,,
511,0.41200000000000003,40.0006,0.20007999999999998,5,,,,
512,0.41200000000000003,40.0006,0.20007999999999998,9,,,,
513,0.41200000000000003,40.0006,0.20007999999999998,12,,,,
514,0.41200000000000003,40.0006,0.20007999999999998,16,,,,
515,0.41200000000000003,40.0006,0.20007999999999998,20,,,,
